location_aaq,location_lat,location_lon,location_aqi,Date,Benzene,CO,PM2.5,NH3,PM10,NOx,Toluene,Xylene,Ozone,SO2
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2022-04-01,4.045251700000001,0.8883020066666667,57.44827586206897,4.297022366666667,124.66666666666669,22.835784333333333,,,17.22304833333333,3.6956190666666666
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2022-04-01,2.646264266666666,0.5615882808695651,42.2962962962963,6.060782925925927,115.33333333333331,51.659770740740726,,,23.00837111111112,3.1629072307692305
Bollaram,18.168900000000065,78.08390000000009,Boallaram,2022-04-01,0.0360589736896551,0.6423455434782608,,,,,,,22.616858620689648,
ICRISAT,17.516590000000065,78.27499000000006,ICRISAT,2022-04-01,0.11329786,0.3133333333333333,40.13333333333333,15.023029666666666,97.96666666666668,16.189301033333333,,,67.69666666666667,10.596666666666664
ECIL,17.42087514237781,78.54339414429708,ECIL,2022-04-01,0.83,0.91,31.0,11.02,85.0,11.3,,,25.8,3.97
Nacharam,17.431250000000034,78.55922000000004,Nacharam,2022-04-01,0.56,0.5,22.45,20.0,36.14,20.1,,,8.61,5.04
Malakpet louis,18.10176000000007,79.71536000000003,Malakpet louis,2022-04-01,0.81,0.81,59.0,17.18,100.95,20.96,,,14.92,22.29
Khairthabad RTA,17.405920000000037,78.45856000000003,Khairthabad RTA,2022-04-01,0.98,0.63,34.0,20.0,81.0,21.35,,,34.2,8.59
Komaplly,17.549060000000054,78.48655000000008,Komaplly,2022-04-01,0.59,0.71,29.0,10.85,47.0,9.0,,,25.6,5.63
Kokapet,17.405860000000075,78.33022000000005,Kokapet,2022-04-01,0.79,0.51,24.0,12.0,43.0,11.45,,,20.87,22.43
Sympony Park,17.530569987152973,78.2881081586758,Sympony Park,2022-04-01,0.92,0.54,27.0,12.19,45.0,9.99,,,19.89,5.46
IITH ,17.802515696000057,79.01075984700003,R C Puram,2022-04-01,0.8,0.47,41.0,10.0,60.0,15.92,,,32.65,5.76
HCU,17.802515696000057,79.01075984700003,BPPA,2022-04-01,1.8316176666666664,0.4696573666666665,33.724137931034484,8.785045366666669,102.1,55.59332533333333,,,19.59107966666667,3.7521837333333328
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2022-04-01,0.0267887263333333,0.7630066400000002,48.0,,,27.394503,,,15.748852,3.806046033333333
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2022-04-01,4.045251700000001,0.8883020066666667,57.44827586206897,4.297022366666667,124.66666666666669,22.835784333333333,,,17.22304833333333,3.6956190666666666
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2022-04-01,2.646264266666666,0.5615882808695651,42.2962962962963,6.060782925925927,115.33333333333331,51.659770740740726,,,23.00837111111112,3.1629072307692305
Bollaram,18.168900000000065,78.08390000000009,Bollaram,2022-04-01,0.0360589736896551,0.6423455434782608,,,,,,,22.616858620689648,
ICRISAT,17.516590000000065,78.27499000000006,Sympony Park,2022-04-01,0.11329786,0.3133333333333333,40.13333333333333,15.023029666666666,97.96666666666668,16.189301033333333,,,67.69666666666667,10.596666666666664
ECIL,17.42087514237781,78.54339414429708,"Nacharam, Police station ",2022-04-01,0.83,0.91,31.0,11.02,85.0,11.3,,,25.8,3.97
Nacharam,17.431250000000034,78.55922000000004,"Nacharam, Police station ",2022-04-01,0.56,0.5,22.45,20.0,36.14,20.1,,,8.61,5.04
Malakpet louis,18.10176000000007,79.71536000000003,"Mee-Seva, Warangal",2022-04-01,0.81,0.81,59.0,17.18,100.95,20.96,,,14.92,22.29
Khairthabad RTA,17.405920000000037,78.45856000000003,"Buddha Purnima Project office, Tank Bund",2022-04-01,0.98,0.63,34.0,20.0,81.0,21.35,,,34.2,8.59
Komaplly,17.549060000000054,78.48655000000008,"Jeedimetla, Industrial Association building",2022-04-01,0.59,0.71,29.0,10.85,47.0,9.0,,,25.6,5.63
Kokapet,17.405860000000075,78.33022000000005,"Jubilee Hills, Police station",2022-04-01,0.79,0.51,24.0,12.0,43.0,11.45,,,20.87,22.43
Sympony Park,17.530569987152973,78.2881081586758,ICRISAT,2022-04-01,0.92,0.54,27.0,12.19,45.0,9.99,,,19.89,5.46
IITH ,17.802515696000057,79.01075984700003,BPPA,2022-04-01,0.8,0.47,41.0,10.0,60.0,15.92,,,32.65,5.76
HCU,17.802515696000057,79.01075984700003,IITH ,2022-04-01,1.8316176666666664,0.4696573666666665,33.724137931034484,8.785045366666669,102.1,55.59332533333333,,,19.59107966666667,3.7521837333333328
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2022-04-01,0.0267887263333333,0.7630066400000002,48.0,,,27.394503,,,15.748852,3.806046033333333
