location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
Sanathnagar,2016-04-01,51.09037178571429,50.85714285714285,9.521162888888888,1.1250232740740742,9.097026250000004,1.204332062962963,73.32466571428571,,,0.7889285714285711
HCU,2016-04-01,60.0,33.0,2.7,0.4,9.1,0.8,32.4,92.0,20.0,1.0
Zoopark,2016-04-01,49.2,48.0,5.4,1.1,6.1,1.6,44.3,115.0,24.5,0.91
Pashamylaram,2016-04-01,56.11159533333333,34.099797333333335,5.282134316666667,0.4278845856666666,8.858591066666667,3.926434138666666,52.93270433333331,92.79444133333337,15.833707100000002,0.6374078933333335
KUDA,2016-04-01,28.0,,,,7.0,,,74.0,21.0,
" Mee-Seva, Warangal ",2016-04-01,20.0,,,,7.0,,,,21.0,
Balasamudram,2016-04-01,14.0,,,,5.5,,,62.0,,
Nakkalagutta,2016-04-01,16.0,,,,6.8,,,77.0,,
Godavarikhani,2016-04-01,34.0,,,,8.0,,,74.0,25.0,
" DIC building, Karimnagar",2016-04-01,29.0,,,,7.0,,,,21.0,
"CER Club, Kothagudem",2016-04-01,21.0,,,,8.0,,,63.0,,
Jalasouda ,2016-04-01,19.0,,,,8.0,,,51.0,,
Kothur,2016-04-01,26.0,,,,7.0,,,95.0,21.0,
R.C.Puram,2016-04-01,26.0,,,,5.0,,,91.0,21.0,
Bollaram,2016-04-01,,,,,,,,,,
Sangareddy,2016-04-01,23.0,,,,5.0,,,66.0,,
PETL,2016-04-01,25.0,,,,13.0,,,79.0,,
Gaddapotharam,2016-04-01,27.0,,,,5.0,,,82.0,,
"Nalgonda RO, Building",2016-04-01,25.0,,,,5.0,,,61.0,21.0,
"Choutuppal, Nalgonda",2016-04-01,28.0,,,,7.0,,,69.0,27.0,
Subhasnagar/  Nizamabad,2016-04-01,,,,,,,,68.0,,
Adilabad/ Mandamarri,2016-04-01,,,,,,,,70.0,,
"Balanagar , CITD office ",2016-05-01,27.1,33.0,,,4.5,,,114.0,79.0,
"Uppal, Modern food Industry, IDA",2016-05-01,26.1,32.0,,,4.6,,,87.0,94.0,
"Jubilee Hills, Police station",2016-05-01,27.3,37.0,,,4.5,,,103.0,82.0,
"Paradise, HMWS &SB Pump house ",2016-05-01,28.3,,,,4.6,,,129.0,75.0,
"Charminar, TSRTC bus station ",2016-05-01,31.1,43.0,,,4.5,,,100.0,105.0,
"Jeedimetla, Industrial Association building",2016-05-01,29.2,,,,4.6,,,111.0,123.0,
"Buddha Purnima Project office, Tank Bund",2016-05-01,23.3,,,,4.7,,,,,
"MGBS, Bus stand ",2016-05-01,20.6,,,,4.8,,,71.0,,
"Chikkadapally, Lepakshi Emporium ",2016-05-01,21.0,,,,4.7,,,66.0,,
"Langar House, Police Station ",2016-05-01,26.6,,,,4.7,,,70.0,,
